Kód;Územná jednotka;bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.);základné vzdelanie (abs.);stredné odborné (učňovské) vzdelanie (bez maturity) (abs.);úplné stredné vzdelanie (s maturitou) (abs.);vyššie odborné vzdelanie (abs.);vysokoškolské vzdelanie (abs.);bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.);nezistené (abs.)
SK0106508055;Lozorno;345;594;670;738;128;538;9;120
SK0106508063;Malacky;2287;2805;3606;4814;978;3437;29;979
SK0106508080;Marianka;347;320;221;465;99;751;2;79
SK0106508161;Pernek;104;197;228;168;45;112;2;39
SK0106508195;Plavecky Stvrtok;304;647;446;503;108;335;9;161
SK0106508233;Stupava;2041;1775;1644;2715;625;3331;23;441
SK0106508241;Suchohrad;57;121;191;154;31;85;0;34
SK0106508349;Vysoka pri Morave;275;493;490;487;84;300;12;132
SK0106508365;Zahorska Ves;235;594;433;344;63;141;6;69
SK0106508381;Zohor;398;671;790;813;166;496;9;105
SK0107507806;Bahon;234;306;398;476;83;331;21;30
SK0107507849;Budmerice;315;405;549;635;149;403;4;46
SK0107507857;Casta;264;330;590;663;134;338;7;37
SK0107507873;Dolany (Okres Pezinok);113;150;252;302;52;187;1;9
SK0107507881;Dubova (Okres Pezinok);134;134;231;312;67;216;4;44
SK0107507946;Jablonec;120;181;237;236;58;139;2;31
SK0107507989;Svaty Jur;821;803;867;1343;273;1608;10;216
SK0107508047;Limbach;343;322;254;457;107;737;3;64
SK0107508101;Modra;995;1185;1464;2455;536;2290;52;369
SK0107508179;Pezinok;3217;3198;3603;6031;1309;6439;41;1062
SK0107508187;Pila (Okres Pezinok);44;50;69;95;30;52;0;7
SK0107508225;Slovensky Grob;1016;610;634;1193;259;1327;3;160
SK0107508250;Senkvice;681;739;953;1426;277;1027;7;150
SK0107508268;Stefanova;43;77;94;93;14;57;0;10
SK0107508306;Vinicne;370;406;442;637;136;624;2;70
SK0107508314;Vinosady;189;203;250;374;80;320;3;54
SK0107508322;Vistuk;151;217;350;358;68;200;2;46
SK0108503681;Boldog;56;63;78;132;29;121;0;9
SK0108503797;Hruba Borsa;267;152;155;318;70;340;1;20
SK0108503801;Hruby Sur;166;169;171;263;51;188;1;29
SK0108503819;Hurbanova Ves;79;66;65;146;27;135;0;11
SK0108503851;Kostolna pri Dunaji;155;93;120;215;41;145;0;12
SK0108503894;Kralova pri Senci;370;301;318;553;95;502;2;92
SK0108503983;Reca;199;407;354;325;72;240;4;55
SK0108507814;Bernolakovo;1555;1029;964;2089;405;2417;10;332
SK0108507822;Blatne;280;318;345;444;81;289;1;70
SK0108507865;Cataj;142;193;259;313;58;198;0;42
SK0108507903;Hamuliakovo;423;340;403;606;142;607;4;43
SK0108507911;Chorvatsky Grob;1199;1036;610;1267;215;2321;6;176
SK0108507938;Ivanka pri Dunaji;963;969;819;1651;346;1916;9;298
SK0108507997;Kalinkovo;155;292;262;327;90;318;2;21
SK0108508071;Malinovo;718;516;421;820;172;1127;4;109
