sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1393;SK032C517291;Tekovska Breznica;Tekovska Breznica;Tekovska Breznica;517291
1394;SK032C517330;Velka Lehota;Velka Lehota;Velka Lehota;517330
1395;SK032C517348;Velke Pole;Velke Pole;Velke Pole;517348
1396;SK032C517356;Voznica;Voznica;Voznica;517356
1397;SK032C517381;Zarnovica;Zarnovica;Zarnovica;517381
1398;SK032C517399;Zupkov;Zupkov;Zupkov;517399
1399;SK032C580546;Orovnica;Orovnica;Orovnica;580546
1400;SK032C581607;Brehy;Brehy;Brehy;581607
1401;SK032D516589;Ziar nad Hronom;Ziar nad Hronom;Ziar nad Hronom;516589
1402;SK032D516660;Bartosova Lehotka;Bartosova Lehotka;Bartosova Lehotka;516660
1403;SK032D516708;Bzenica;Bzenica;Bzenica;516708
1404;SK032D516724;Dolna Trnavka;Dolna Trnavka;Dolna Trnavka;516724
1405;SK032D516732;Dolna Ves;Dolna Ves;Dolna Ves;516732
1406;SK032D516741;Dolna Zdana;Dolna Zdana;Dolna Zdana;516741
1407;SK032D516767;Hlinik nad Hronom;Hlinik nad Hronom;Hlinik nad Hronom;516767
1408;SK032D516791;Horna Zdana;Horna Zdana;Horna Zdana;516791
1409;SK032D516821;Hronska Dubrava;Hronska Dubrava;Hronska Dubrava;516821
1410;SK032D516848;Ihrac;Ihrac;Ihrac;516848
1411;SK032D516872;Janova Lehota;Janova Lehota;Janova Lehota;516872
1412;SK032D516881;Jastraba;Jastraba;Jastraba;516881
1413;SK032D516937;Kopernica;Kopernica;Kopernica;516937
1414;SK032D516945;Kosorin;Kosorin;Kosorin;516945
1415;SK032D516961;Krahule;Krahule;Krahule;516961
1416;SK032D516970;Kremnica;Kremnica;Kremnica;516970
1417;SK032D516988;Kremnicke Bane;Kremnicke Bane;Kremnicke Bane;516988
1418;SK032D516996;Kunesov;Kunesov;Kunesov;516996
1419;SK032D517011;Lehotka pod Brehmi;Lehotka pod Brehmi;Lehotka pod Brehmi;517011
1420;SK032D517020;Lovca;Lovca;Lovca;517020
1421;SK032D517038;Lovcica-Trubin;Lovcica-Trubin;Lovcica-Trubin;517038
1422;SK032D517046;Lucky;Lucky;Lucky;517046
1423;SK032D517089;Nevolne;Nevolne;Nevolne;517089
1424;SK032D517135;Pitelova;Pitelova;Pitelova;517135
1425;SK032D517186;Prestavlky;Prestavlky;Prestavlky;517186
1426;SK032D517194;Prochot;Prochot;Prochot;517194
1427;SK032D517216;Repiste;Repiste;Repiste;517216
1428;SK032D517241;Sklene Teplice;Sklene Teplice;Sklene Teplice;517241
1429;SK032D517259;Slaska;Slaska;Slaska;517259
1430;SK032D517267;Stara Kremnicka;Stara Kremnicka;Stara Kremnicka;517267
1431;SK032D517313;Trnava Hora;Trnava Hora;Trnava Hora;517313
1432;SK032D517364;Vyhne;Vyhne;Vyhne;517364
1433;SK032D581747;Horna Ves;Horna Ves;Horna Ves;581747
1434;SK032D599328;Ladomerska Vieska;Ladomerska Vieska;Ladomerska Vieska;599328
1435;SK032D599336;Lutila;Lutila;Lutila;599336
1436;SK0321508438;Banska Bystrica;Banska Bystrica;Banska Bystrica;508438
1437;SK0321508454;Badin;Badin;Badin;508454
1438;SK0321508471;Balaze;Balaze;Balaze;508471
1439;SK0321508519;Cerin;Cerin;Cerin;508519
1440;SK0321508543;Dolna Micina;Dolna Micina;Dolna Micina;508543
1441;SK0321508551;Dolny Harmanec;Dolny Harmanec;Dolny Harmanec;508551
1442;SK0321508560;Donovaly;Donovaly;Donovaly;508560
1443;SK0321508586;Dubravica;Dubravica;Dubravica;508586
1444;SK0321508594;Harmanec;Harmanec;Harmanec;508594
1445;SK0321508616;Hiadel;Hiadel;Hiadel;508616
1446;SK0321508632;Horna Micina;Horna Micina;Horna Micina;508632
1447;SK0321508641;Horne Prsany;Horne Prsany;Horne Prsany;508641
1448;SK0321508659;Hrochot;Hrochot;Hrochot;508659
1449;SK0321508675;Brusno;Brusno;Brusno;508675
1450;SK0321508713;Kordiky;Kordiky;Kordiky;508713
1451;SK0321508721;Kraliky;Kraliky;Kraliky;508721
1452;SK0321508748;Lubietova;Lubietova;Lubietova;508748
1453;SK0321508756;Lucatin;Lucatin;Lucatin;508756
1454;SK0321508764;Medzibrod;Medzibrod;Medzibrod;508764
1455;SK0321508781;Molca;Molca;Molca;508781
1456;SK0321508799;Mostenica;Mostenica;Mostenica;508799
1457;SK0321508802;Motycky;Motycky;Motycky;508802
1458;SK0321508837;Oravce;Oravce;Oravce;508837
1459;SK0321508861;Podkonice;Podkonice;Podkonice;508861
1460;SK0321508896;Pohronsky Bukovec;Pohronsky Bukovec;Pohronsky Bukovec;508896
1461;SK0321508918;Poniky;Poniky;Poniky;508918
1462;SK0321508926;Povraznik;Povraznik;Povraznik;508926
1463;SK0321508942;Priechod;Priechod;Priechod;508942
1464;SK0321508969;Riecka;Riecka;Riecka;508969
1465;SK0321508977;Sebedin-Becov;Sebedin-Becov;Sebedin-Becov;508977
1466;SK0321508985;Selce;Selce;Selce;508985
1467;SK0321509001;Slovenska Lupca;Slovenska Lupca;Slovenska Lupca;509001
1468;SK0321509019;Stare Hory;Stare Hory;Stare Hory;509019
1469;SK0321509027;Strelniky;Strelniky;Strelniky;509027
1470;SK0321509035;Spania Dolina;Spania Dolina;Spania Dolina;509035
1471;SK0321509060;Tajov;Tajov;Tajov;509060
1472;SK0321557269;Turecka;Turecka;Turecka;557269
1473;SK0321557277;Kyncelova;Kyncelova;Kyncelova;557277
1474;SK0321557285;Nemce;Nemce;Nemce;557285
1475;SK0321557293;Vlkanova;Vlkanova;Vlkanova;557293
1476;SK0321580236;Hronsek;Hronsek;Hronsek;580236
1477;SK0321580244;Malachov;Malachov;Malachov;580244
1478;SK0322516597;Svaty Anton;Svaty Anton;Svaty Anton;516597
1479;SK0322516601;Badan;Badan;Badan;516601
